matricule;designation;annee;qte_vidange;code_barre;marque;pneumatique;categorie
041-01296-40;NIVELEUSE GD661 KOMATSU;2005;30;CB1162;KOMATSU;1400/24;ENGIN TERRASSEM
052-01314-40;CHARGEUR  HL740-7 HYUNDAI HYUNDAI ;2011;13;CB1472;HYUNDAI ;20,5R25;ENGIN TERRASSEM
041-01295-40;CHARGEUR WA420 KOMATSU;2005;30;CB1224;KOMATSU;23,5R25;ENGIN TERRASSEM
04-330-40;PELLE HD M318 CATERPILLAR;2003;15;CB0592;CATERPILLAR;1000/20;ENGIN TERRASSEM
042-01198-40;PELLE SUR CHENILLE  320DL CATERPILLAR;2010;25;CB1471;CATERPILLAR;CHENILLE;ENGIN TERRASSEM
042-01812-40;PELLE SUR CHENILLE EC 350DL VOLVO;2016;28;CB0000;VOLVO;CHENILLE;ENGIN TERRASSEM
041-01414-40;RETROCHARGEUR 428F CASE;1997;6;CB1632;CASE;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01210-40;RETROCHARGEUR 428C CATERPILLAR;2000;6;CB0402;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01239-40;RETROCHARGEUR 422E CATERPILLAR;2011;6;CB1439;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01468-40;PELLE SUR PNEU M315D CATERPILLAR;2014;9;CB1675;CATERPILLAR;1000/20 (pneu tandem);ENGIN TERRASSEM
04-1636-16;RETRO CHARGEUR 422E CATERPILLAR;0;6;0;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01532-40;BULLDOZER CATERPILLAR;2014;25;CB1919;CATERPILLAR;CHENILLE;ENGIN TERRASSEM
052-00775-40;GRUE SUR PNEU 1025 ENMTP;2007;9;CB1157;ENMTP;1100/20;MANITENTION
051-01340-40;GRUE SUR PNEU SANY STC250 SANY;2012;20;CB1633;SANY;1100/20;MANITENTION
051-01249-40;GRUE SUR PNEU SANY QY25 SANY;2011;20;CB1440;SANY;1100/20;MANITENTION
MT-X1840;CHARIOT TELESCOPIQUE CB1997 MANITOU;2014;9;CB1997;MANITOU;400/80R 24;MANITENTION
052-01383-40;"CHARIOT,ELEV ""CLARK"" 70DF-7 HYUNDAI";2012;8;CB1532/1;HYUNDAI;8,25/15;MANITENTION
CB0660;GRUE POTIN A380 (N° 57743) POTIN;1997;0;CB0660;POTIN;0;MANITENTION 1
CB0600;GRUE POTIN 01 (N° 57733) POTIN;2003;5;CB0600;POTIN;-;MANITENTION 1
CB0604;GRUE POTIN 02 (N° 58298) POTIN;2002;0;CB0604;POTIN;-;MANITENTION 1
CB0497;GRUE POTIN 03 POTIN;2003;0;0;POTIN;0;MANITENTION 1
568-187-40;COMPACTEUR SP 54 ENMTP;1992;10;CB0410;ENMTP;1300/80R20;COMPACTAGE
CB1962;COMPACTER PNEUMATIQUE CW 34 CATERPILLAR;2015;0;CB1962;CATERPILLAR;0;COMPACTAGE
SP24;MINI COMPACTEUR SP24 ENMTP;2006;3;0;ENMTP;CYLINDRE;COMPACTAGE
003792-212-16;CAMION CITERNE 10,000 L DAEWOO ;2012;15;CB1483;DAEWOO ;1200/22,5;TRANS ET V, SPECIAUX  
000332-711-16;CAMION MALAXEUR  M1 HYUNDAY;2011;15;CB1347;HYUNDAY;1200/22,5;TRANS ET V, SPECIAUX  
000429-712-16;CAMION MALAXEUR  M2 DAEWOO ;2012;15;CB1547;DAEWOO ;1200/22,5;TRANS ET V, SPECIAUX  
000431-712-16;CAMION MALAXEUR  M3 HYUNDAY;2012;15;CB1546;HYUNDAY;1200/22,5;TRANS ET V, SPECIAUX  
007993-209-16;CAMION MALAXEUR  M4 HYUNDAY;2009;15;CB1279;HYUNDAY;1200/22,5;TRANS ET V, SPECIAUX  
000330-711-16;CAMION MALAXEUR  M5 HYUNDAY;2011;15;CB1348;HYUNDAY;1200/22,5;TRANS ET V, SPECIAUX  
008003-209-16;CAMION MALAXEUR  M6 HYUNDAY;2009;15;CB1280;HYUNDAY;1200/22,5;TRANS ET V, SPECIAUX  
002168-203-16;CAMION MALAXEUR  M7 HYUNDAY;2003;15;CB0283;HYUNDAY;1100/20;TRANS ET V, SPECIAUX  
003802-206-16;CAMION MALAXEUR  M8 DAEWOO ;2006;15;CB0842;DAEWOO ;1100/20;TRANS ET V, SPECIAUX  
000853-224-16;CAMION MALAXEUR  M9 SCHACMAN;2024;15;0;SCHACMAN;1200/22,5;TRANS ET V, SPECIAUX  
000854-224-16;CAMION MALAXEUR  M10 SCHACMAN;2024;15;0;SCHACMAN;1200/22,5;TRANS ET V, SPECIAUX  
003800-206-16;POMPE A BETON  SCHWING STETTER;2006;15;CB1296;SCHWING STETTER;315/80R22,5;TRANS ET V, SPECIAUX  
864-286-40;CAMION CITERNE 10 000 Berliet GBH 12 RENAULT;1986;15;0;RENAULT;Berliet GBH12;TRANS ET V, SPECIAUX  
03368-812-40;COCOTTE A CIMENT 20T-03 SNVI;2012;10;CB1525;SNVI;315/80R22,5;TRANS ET V, SPECIAUX  
31-695-40;TRACTEUR AGRICOLE PMA;1995;8;CB0403;PMA;AR 16,9/30 AV 11L16SL;TRANS ET V, SPECIAUX  
CB0407;CITERNE A 2 ROUES 3000L EDIMMA;1995;0;CB0407;EDIMMA;10,5/65R16;TRANS ET V, SPECIAUX 1 
203-890-40;COCOTTE A CIMENT 20T-01 SNVI;1990;10;CB0279;SNVI;1000/20;TRANS ET V, SPECIAUX 1
00152-899-40;COCOTTE A CIMENT 20T-02 SNVI;2006;10;CB0849;SNVI;1000/20;TRANS ET V, SPECIAUX 1
01751-811-40;PORTE ENGIN  ;2011;0;CB1350;0;235/75R17,5;TRANS ET V, SPECIAUX 1
00073-801-40;PORTE ENGIN 32T SNVI;2001;0;CB0385;SNVI;8,25 R15;TRANS ET V, SPECIAUX 1
CB3283;DUMPER AURES L500 (CB3283) ENMTP;2023;0;CB3283;ENMTP;0;TRANS/CHANTIER
02166-203-16;CAMION A BENNE K66 DAEWOO ;2003;9;CB0512;DAEWOO ;750/16;TRANS/BENNE
02164-203-16;CAMION A BENNE C260 4X2 SNVI;2003;17;CB0684;SNVI;315/80R22,5;TRANS/BENNE
004020-205-16;CAMION A BENNE DAEWOO ;2005;15;CB0467;DAEWOO ;1200/20;TRANS/BENNE
004024-205-16;CAMION A BENNE DAEWOO ;2005;15;CB0466;DAEWOO ;1200/20;TRANS/BENNE
003794-212-16;CAMION A BENNE DAEWOO ;2012;15;CB1530;DAEWOO ;1200/22,5;TRANS/BENNE
003790-212-16;CAMION A BENNE DAEWOO ;2012;0;CB1531;DAEWOO ;1200/22,5;TRANS/BENNE
003461-213-16;CAMION A BENNE C260 6X3 DAEWOO ;2013;15;CB1631;DAEWOO ;1200/22,5;TRANS/BENNE
003459-213-16;CAMION A BENNE C260 6X4 DAEWOO ;2013;15;CB1630;DAEWOO ;1200/22,5;TRANS/BENNE
001719-211-16;CAMION A BENNE FOREMHYD DAEWOO ;2011;0;0;DAEWOO ;0;TRANS/BENNE
189-890-40;REMORQUE A BENNE 20T RMQ SNVI;1990;0;CB0267;SNVI;1200/20;TRANS/BENNE.R
00195-804-40;REMORQUE A BENNE 20T RMQ SNVI;2004;10;CB0582;SNVI;315/80R22,5;TRANS/BENNE.R
000956-214-16;CAMION PLATEAU DAEWOO ;2014;15;0;DAEWOO ;1200/22,5;TRANS/MARCHANDISE
003784-212-16;CAMION  PLATEAU DAEWOO ;2012;15;CB1484;DAEWOO ;1200/22,5;TRANS/MARCHANDISE
002382-510-16;TRACTER ROUTIER TB400 SNVI;2010;17;CB1297;SNVI;315/80R22,5;TRANS/MARCHANDISE
000935-505-16;TRACTER ROUTIER  MITSUBISHI;2005;15;CB0285;MITSUBISHI;1100/20;TRANS/MARCHANDISE
001637-512-16;TRACTER ROUTIER   6X4 DAEWOO ;2012;0;CB1532;DAEWOO ;0;TRANS/MARCHANDISE
002483-509-16;TRACTER ROUTIER  DAEWOO ;2009;15;CB1277;DAEWOO ;1200/22,5;TRANS/MARCHANDISE
824-881-40;REMORQUE PLATEAU 20T RANDON;1981;0;CB0268;RANDON;1000/20;TRANS/MARCHANDISE 1
820-881-40;REMORQUE PLATEAU 20T SNVI;1981;0;CB0286;SNVI;1100/20;TRANS/MARCHANDISE 1
00006-813-40;REMORQUE PLATEAU 40T SNVI;2013;0;CB1627;SNVI;0;TRANS/MARCHANDISE 1
003094-204-16;SATATION D'ENTRETIEN MITSUBISHI;2004;6;0;MITSUBISHI;700/16;TRANS/MARCHANDISE
003804-206-16;CAMION HD65 HYUNDAI;2006;6;0;HYUNDAI;700/16;TRANS/MARCHANDISE
007995-209-16;CAMION HD65 HYUNDAI;2009;6;0;HYUNDAI;700/16;TRANS/MARCHANDISE
007991-209-16;CAMION HD65 HYUNDAI;2009;6;0;HYUNDAI;700/16;TRANS/MARCHANDISE
02166-413-40;MINIBUS  MITSUBISHI;2013;5,5;CB1925;MITSUBISHI;700/16;TRANS/PERSONNEL
02161-413-40;MINIBUS MITSUBISHI;2013;5,5;CB1926;MITSUBISHI;700/16;TRANS/PERSONNEL
02009-410-40;MINIBUS  HYUNDAI;2010;5,5;CB1291;HYUNDAI;700/16;TRANS/PERSONNEL
01277-114-40;TOYOTA COROLLA;2014;4;CB1924;TOYOTA;0;LEGER,D
00106-102-40;HYUNDAI ACCENT;2002;2,5;0;HYUNDAI;0;LEGER,E
00200-104-40;RENAULT CLIO;2004;2,5;CB0681;RENAULT;175/70/13;LEGER,E
00145-105-40;HONDA CIVIC;2005;2,5;CB0682;HONDA;185/65R14;LEGER,E
00379-305-40;MITSUBISHI PICK UP;2005;4,5;CB0281;MITSUBISHI;0;LEGER,D
00051-307-40;MITSUBISHI PICK UP;2007;4,5;CB1094;MITSUBISHI;0;LEGER,D
00378-105-40;HONDA ACCORD;2005;3,5;CB0275;HONDA;0;LEGER,E
00356-106-40;TOYOTA ECHO;2006;2,5;CB0841;TOYOTA;0;LEGER,E
00151-106-40;RENAULT KANGOO;2006;3,5;CB0846;RENAULT;0;LEGER,D
00438-118-40;VOLKSWAGEN CADDY 1,6 TDI;2018;4;0;VOLKSWAGEN;195/65/15;LEGER,D
01140-317-40;VOLKSWAGEN  CADDY;2017;4;CB0000;VOLKSWAGEN ;0;LEGER,E
